"Summary of JAGS with all replications"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Gstar",31.1536899109014,3.75838733187564,23.1675115640252,28.6985897080205,31.4149431663721,33.8188849116377,37.8421210250686,1.00190386294299,6100
"J[1]",187.666578523545,3.27595475725149,181.588400861951,185.442872612957,187.565705396456,189.767998768387,194.441093457699,1.01890515967749,150
"J[2]",51.3305610850542,1.17455971375568,49.1475754709374,50.5128888850731,51.2973240039172,52.0810129172138,53.8280005682541,1.02492790065609,110
"J[3]",34.9310273948282,0.7966019568579,33.4522991107446,34.3809261827912,34.913933591653,35.4427761807378,36.6055710873446,1.0248647035726,110
"J[4]",18.2175093952712,0.411579928876427,17.4499970014738,17.9313136274594,18.2071281336982,18.4810104946377,19.0859113663975,1.02494729916945,110
"Km",428,0,428,428,428,428,428,1,1
"Resp",1.77391144248569,0.555032184528907,0.766708445072456,1.39533964731936,1.73603306021301,2.12023837640685,2.96324988464559,1.00230090264618,1500
"Vcmax",110.494949299568,9.6344552327695,97.6499488635793,103.376759632941,108.499856028531,115.510620767926,134.709274521508,1.00308197873378,940
"rm",0.999166702678914,0.704869141831101,0.0523055261254649,0.42972563524806,0.879504562147719,1.43412994503689,2.63911034098385,1.00204864878931,1800
"s",0.296163339936856,0.00638847968352205,0.284386144652954,0.291658677687923,0.296013475037845,0.300224029498172,0.309931469745581,1.02700643677098,100

